Title,Location,Company,Description,Salary,Tipo_Puesto,English,Academy_grade,Years_Experience,SoftSkill,HardSkill,Remoto,Estado,Accessed_Date
Data Architecht,Remoto - Solo México,Pypol Soluciones,"Nos encontramos en búsqueda de un Data Architecht para importante Consultora de IT

REQUISITOS:

1. Experiencia en el desarrollo de proyectos Big data.
2. Desarrollo de diseño conceptual, lógico y físico para varios tipos de datos y grandes volúmenes.
3. Experiencia en el diseño, construcción y operación de servicios en la nube, integrador de sistemas.
4. Experiencia en arquitectura de sistemas: Modelado de datos, Integración de sistemas.
5. Experiencia práctica en tecnología Hadoop /Big Data, experiencia en almacenamiento, consultas.

Funciones principales:

1. Responsable de diseño y puesta en marcha de arquitecturas On Premise, Cloud e Hibridas para proyectos de Data lake enfocados a explotación de Big Data.
2. Definición de roadmap de activación de componentes analíticos avanzados, procesamiento paralelo, interfaces, modelado de Data Warehouse y data lakes en estructuras de datos tipo Hadoop.
3. Dirigir la implementación de Hadoop de extremo a extremo en un entorno empresarial grande, integrado con legacy applications, herramientas de ecosistemas Hadoop tales como: HDFS, Hive y Spark.

El salario ofrecido es neto en esquema 100% nominal + prestaciones superiores.","$ 50,000 a 60,000",Empleado de tiempo completo,Nivel Intermedio,,,,,Remote,Remoto,2020-10-30
Arquitecto Google Cloud Platform,"Miguel Hidalgo, Ciudad de México",Pypol Soluciones,"Estamos buscando un Arquitecto Google Cloud Platform para importante Consultora de IT en México:

REQUISITOS:

Tener conocimientos de arquitectura de soluciones de Google  para los proyectos que entran en la migración de los desarrollos On Premise a la nube.
Creación de Modelos de datos con Data Flow para distintos proyectos. 
Desarrollo de informes / Dashboards en Data Studio para las áreas de BI y transaccionales. 
Por lo menos 1 año de experiencia en la BD  Big query de GCP, porque toda la información de BI y transaccional deberá ser almacenada y explotada en esta BD. 
Experiencia en Google Data Storage.

Ofrecemos contratación 100% nómina con prestaciones superiores de ley.","$ 45,000 a 50,000",Empleado de tiempo completo,Nivel Intermedio,,1 año,,,, Ciudad de México,2020-10-30
Data Analyst,"Miguel Hidalgo, Ciudad de México",Pypol Soluciones,"Nos encontramos en búsqueda de un Data Analyst para importante Consultora de IT en México.

REQUISITOS:

Licenciatura en Sistemas o Afín
Experiencia en Business Analysis (2-3 años)
Experiencia reciente entrevistando a usuarios de negocio, recopilando informes y requisitos de KPI´s
Experiencia comprobada de trabajar en desarrollo de producto de datos (análisis, estructura de queries)
Experiencia comprobada en documentación de requisitos, procesos y flujos de trabajo.
Capacidad de participar y realizar sesiones de levantamiento de información y presentar hallazgos
Experiencia con SQL y Herramientas BI. (Looker, Tableu, Power BI)

Ofrecemos sueldo 100% nominal y prestaciones superiores a las de ley.","$ 35,000 a 40,000",Empleado de tiempo completo,Nivel Intermedio,Licenciatura,2-3 años,,SQL,, Ciudad de México,2020-10-30
Consultor SSAS,"Miguel Hidalgo, Ciudad de México",Pypol Soluciones,"Nos encontramos en búsqueda de un Consultor SSAS para importante Consultora de IT

REQUISITOS:

3 años de experiencia en la ejecución de proyectos de Desarrollo BI de punta a punta.
Análisis, diseño, desarrollo, testeo liberación de componentes de SSAS, SQL Power BI.
Conocimientos de Data Warehouse.
Identificación y desarrollo de mejoras de procesos, dashboards y reportes.
Se ofrece salario neto de 30-36k de acuerdo a experiencia en esquema 100% nominal + prestaciones superiores a las de ley.

Interesados compartir cv a","$ 35,000 a 40,000",Empleado de tiempo completo,Nivel Intermedio,,3 años,,SQL,, Ciudad de México,2020-10-30
Desarrollador Big Data,"Miguel Hidalgo, Ciudad de México",Pypol Soluciones,"Nos encontramos en búsqueda de Desarrolladores Big Data para importante Consultora de IT.

REQUISITOS:

1. Experiencia laboral en participación en  equipos de trabajo ágiles.
2. Experiencia en ingeniería de datos, desarrollo de canales de datos complejos
3. Experiencia con Java, Python para escribir canalizaciones de datos y capas de procesamiento de datos. (Alguno de los dos) - paradigma de programación orientado a objetos, o scala.
4. Experiencia con almacenes de datos relacionales, NoSQL / en memoria (Oracle, Cassandra, Druid)
5. Experiencia de ajuste de rendimiento de sistemas que trabajan con grandes conjuntos de datos.
6. Experiencia en el desarrollo de servicios de datos API REST
7. Experiencia con procesamiento de datos en streaming

Actividades principales: 

1. Diseñar, desarrollar, implementar y ajustar sistemas distribuidos y tuberías a gran escala que procesan grandes volúmenes de datos; centrándose en la escalabilidad, baja latencia y tolerancia a fallas en cada sistema construido.
2.  Proporciona y apoya la implementación y las operaciones de las canalizaciones de datos y las soluciones analíticas.

El salario ofrecido es neto con esquema 100% nominal más prestaciones superiores a las de la ley.","$ 45,000 a 50,000",Empleado de tiempo completo,Nivel Intermedio,Licenciatura,,,"Java, Python, Oracle, NoSQL, Cassandra",, Ciudad de México,2020-10-30
BIG DATA 100% REMOTO INGLES AVANZADO,Remoto,PRAXIS TI,"En Praxis estamos en búsqueda del mejor talento...

 Big Data - Ingles Avanzado

ZONA DE TRABAJO: Home Office


ESCOLARIDAD:  Licenciatura en Sistemas, Computación o carrera afín

EXPERIENCIA (3 -6 años) :


3-6 years Works with big data - managing big data platforms
Monitoring and managing big data jobs
Configuration, performance issues, review logs and errors
Technologies: Hadoop and Spark (able to determine how many resources platform is using, identify performance issues, review logs and errors using Spark), Kafka (used for streaming jobs).
Language ENGLISH ADVANCED


Si estas interesado postúlate a través de este medio anexando cv actualizado, ¡agradecemos tu interés en la vacante!

""En Praxis queda prohibido la solicitud de certificados médicos de no embarazo y virus de inmunodeficiencia humana (VIH) como requisito para ingreso, permanencia o ascenso""","$ 60,000 a 70,000",Empleado de tiempo completo,Nivel Avanzado,Licenciatura,"3 -6 años, 3-6 years",,,Remote,Remoto,2020-10-30
BIG DATA DEVELOPER/ ARCHITECT,"Georgia, USA",Enhance IT,"Enhance IT, is a global IT Ser vices company based in Atlanta, Georgia.  Our team is comprised of a global group of dedicated individuals striving to make a difference with everything we do. We are coaches, teachers, mentors, and advisors.
We are a family of super-charged problem solvers laying a foundation for growth and development across the globe. Our mission is to help individuals and businesses find, build, and grow their next big dream. We are change agents making a difference, and we do it by starting at the beginning to uncover what really matters to turn opportunities into tangible results. It is always a team effort endeavoring to build careers and provide value.
  Big Data Architect
Summary:
Our growing organization is seeking a skilled professional to serve as an internal resource for our specialized focus in the field of Big Data/Hadoop Development. We provide Fortune 500 clients throughout the United States with IT consultants in a wide-ranging technical sphere.
In order to fully maintain our incoming nationwide and international hires, we will be hiring a Big Data Lead Developer/Architect for out Atlanta, GA (US) headquarters to coach/mentor our incoming classes of consultants. If you have a strong passion for the various Big Data platforms and are looking to join a seasoned team of IT professionals, this could be an advantageous next step.
This is a full-time internal position that requires relocation to Atlanta. No travel required after relocation.
Key Responsibilities:
The Big Data/Hadoop SME will take on the following responsibilities:
-           Interviewing potential consultants to ensure all onboarding employees will be successful in Big Data domains prior to each onboarding.
-           The design, development, and maintenance of our best-in-class Big Data/Hadoop development training materials
-           Training, guiding and mentoring junior to mid-level developers.
-           Preparing mock interview situations to enhance the esteemed learning process provided by the company.
-           Acting as a primary resource for individuals working on a variety of projects throughout the US
-           Interacting with our Executive and Sales team to ensure that projects and employees are appropriately matched.
-           Prepping consultants for interviews for specific assignments involving development and implementation of Hadoop and other environments
  The ideal candidate will not only possess a solid knowledge of Big Data infrastructures, but must also have a fluency in the following areas (allowing for fluid interactions with other team members scattered across the entry to senior level spectrum):
-           Hadoop development and implementation
-           Strong in Object Oriented Development in Scala/Java platform
-           Hands on experience in big data technologies including Scala or Spark, Hadoop, Hive, HDFS.
-           Strong SQL skills and experience
-           Designing, building, installing, configuring, and supporting Big Data Clusters Spark/Kafka
-           Translate complex functional and technical requirements into detail design Implementing ETL process for integration of data from disparate sources.
-           Cloud Experience is a plus
  Desired Qualifications Include:
·          At least 8+ Years of professional experience in the IT Industry
·          Strong knowledge in back-end programming, specifically Java/Scala
·          Demonstrated knowledge of database structures, theories, principles, and practices.
·          Analytical and problem-solving skills
·          Proven understanding with Hadoop, Spark, Kafka, Hive, and HBase
·          Good aptitude in multi-threading and concurrency concepts
·          Able to work in Atlanta, Georgia.  tel. 55 3233-2414

Minimum Education:
·          Bachelor’s Degree in the Computer Science or related field","$ 100,000 a 125,000",Empleado de tiempo completo,Nivel Avanzado,Bachelor,8+ Years,"Analitical, Coach, Continuously learn, Mentor, Organization, Problem solving","Next, Java, SQL",, USA,2020-10-30
Big Data Developer,"Querétaro, Querétaro",CAPITAL EMPRESARIAL HORIZONTE SA DE CV,"Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información solicita:
Big Data Developer
Para laborar en CDMX, GDL o Qro
Perfil
Edad:   Indistinta.
Escolaridad:   Ingeniería en Sistemas, Informática o afín.
Estado Civil:   Indistinto.
Sexo:   Indistinto.
Experiencia:   Mínima de 3 años.
Idioma:   Inglés Intermedio-Avanzado Conversacional
Funciones que deberá dominar:
· Conocimientos técnicos:
Java
SQL
Shell Script
JSON
Oracle
Modelado de datos
Control-M
Big Data (Hadoop, Hive, Scala, Spark, Ozzie, AKKA)
Ofrecemos:
· Horario de Lunes a Viernes (horario de oficina)
· Sueldo a negociar según experiencia… en brutos (Esquema 100% nomina) + Prestaciones de Ley y Prestaciones superiores (SGMM familiar, SV 1 millón, Vales de despensa, 30 días de aguinaldo, 10 días de vacaciones + 2 por año, PTU)
Interesados mandar su CV en formato Word al correo de contacto(arroba)horizonteempresarial.com.mx o comunicarse con la Lic. Nayeli Barrientos al 52 56 44 90 y 52 56 45 02.","$ 70,000 a 80,000",Empleado de tiempo completo,Nivel Intermedio,Licenciatura,3 años,,"Java, SQL, Oracle",, Querétaro,2020-10-30
Big Data Developer,Remoto,DXC Technology,"Job Profile Summary
Designs, develops, troubleshoots and analyzes moderately complex software programs for computer-based systems. Customizes software based upon research.
Job Function and Responsibilities
Performs moderately complex systems modeling, simulation and analysis to provide appropriate software solutions.
Develops software system testing procedures, programming and documentation to ensure standard use of procedures.
Provides input for documentation of new or existing programs to ensure information accessibility, as required.
Designs, develops, troubleshoots and analyzes software programs to ensure compatibility with hardware systems.
Customizes software based on research and customer needs as appropriate.
Coordinates and facilitates communications with other departments and/or commercial vendor(s) to investigate and resolve software matters of significance and to ensure proper functioning of systems.
Maintains communication with management and customers regarding status of software development and problems.
Acts as technical lead on large projects involving a particular software package(s).
Provides the customer base with first level support.
Qualifications
Bachelor's degree or equivalent combination of education and experience
Bachelor's degree in computer science, management information systems, or related field preferred
Six or more years of experience in software engineering or operating systems programming
Experience working with design and coding languages
Experience working with software design principles
Experience working with computer hardware
Other Qualifications
Good analytical and creative problem-solving skills for design, creation and testing of software
Good interpersonal skills to interact with customers and team members
Good communication skills to interact with team members and senior support personnel
Ability to work independently and as part of a team
Technical Qualifications
Hadoop Development
Airflow
Oozie
SQL
Scala
Spark
Java
J2EE
Spring
Webservices
Kafka
Angular
React JS
Hibernate
Skills Required for the Role
Strong programming skills in Scala.
Proficient in distributed computing frameworks such as Spark, micro-services, and Kafka.
Expertise in writing and understanding complex SQL queries
Demonstrates strong attention to detail.
Experience with database architecture and design including scalability, performance and high availability.
Experience in data cleaning techniques, ETL, and data visualizations.
Ability to work independently in a fast-paced, iterative development environment.
Strong communication skills and team player
Work Environment
Virtual / Remote",No especificado,Empleado de tiempo completo,Nivel Avanzado,Bachelor,,"Analitical, Attention to details, Comunication skills, Independent Worker, Interpersonal, Problem solving, Team Player","Environment, React, Angular, Java, Hibernate, SQL",Remote,Remoto,2020-10-30
Big Data Engineer,Remoto - Solo México,Atos,"Required
Big Data Engineer
Atos currently seeks a Big Data Engineer to create data pipeline architectures for service offerings being developed that assist clients on their application or data modernization journey.
Responsibilities
  Work within an Agile development pod supporting full stack engineers and DevSecOps experts to ensure effective data delivery
Identify methods to optimize data flow and ingestion
Establish and maintain large, complex data sets that meet functional / non-functional business requirements
Collaborate with the Enterprise Architect, Solution Architect, and Technical Lead to resolve data-related technical issues
Work with data scientists to build data analytics capabilities that innovative new products require
Ensure data privacy and sovereignty requirements are considered for each solution
  Qualifications
  Minimum of 5-7 years of experience in data engineering roles with increasing responsibility
Significant experience in building data pipelines in the cloud
Demonstrated experience with both structured and unstructured datasets
Expert experience with relational databases including advanced querying (SQL)
Current understanding of industry trends and methodologies
Experience with big data tools: Hadoop, Spark, Kafka, etc.
Experience with relational SQL and NoSQL databases, including Postgres and Cassandra.
Experience with data pipeline and workflow management tools: NiFi, Kafka, Airflow, etc.
Experience with public cloud data services: Amazon RDS and Redshift, GCP Cloud SQL and Big Query, Azure SQL and Cosmos
Experience with stream-processing systems: Amazon Kinesis, Apache Storm, Apache Spark, etc.
Experience with object-oriented/object function scripting languages: Python, Java, R, etc.
Experience supporting and working with cross-functional teams in a dynamic environment
Outstanding verbal and written communication skills
Excellent attention to detail
Strong people skills",No especificado,Empleado de tiempo completo,Nivel Avanzado,,5-7 years,"Analitical, Attention to details, Collaborate, Comunication skills, Dynamic enviroment, Innovation, Written and oral communication, Working with cross functional teams","Environment, Java, Python, SQL, NoSQL, Cassandra, Azure",Remote,Remoto,2020-10-30
