Title,Location,Company,Description,Salary,Tipo_Puesto,English,Academy_grade,Years_Experience,SoftSkill,HardSkill,Remoto,Estado,Accessed_Date
"Sr. Software Engineer, iOS",Remoto - Solo México,Luxoft,"https://career.luxoft.com/job/sr-software-engineer-ios/265148/

Must have
CocoaPods, Git, Swift Programming Language, GitHub, IOS
Nice to have
Figma, RxSwift, GraphQL, Firebase",No especificado,Empleado de tiempo completo,Nivel Avanzado,,,,"Swift, Firebase, Git, Github, Figma, graphql",Remote,Remoto,2021-11-04
iOS Developer,Remoto - Solo México,Kavak.com,"Kavak.com es una plataforma moderna basada en datos que ha ayudado a decenas de miles de clientes a comprar y vender automóviles. Somos la principal plataforma de comercio electrónico para automóviles en México y una de las empresas de más rápido crecimiento y mejor calificación en América Latina. También hemos sido seleccionados como  ""Emprendimiento del año""  en 2018 por la Revista Expansión y el #LinkedInTopStartup 2020 clasificó a Kavak como la  Segunda Mejor Startup para trabajar en México.
  El equipo:
Nuestro equipo de IT es responsable de crear todas las aplicaciones y sistemas que habilitan tanto las operaciones como las interacciones con nuestros clientes, volviéndose el centro de lo que somos como compañía. Nos enfocamos en nuestras fortalezas e invertimos tiempo para potenciarlas, a través del uso de metodologías ágiles, el desarrollo de estructuras dinámicas que facilitan nuestros resultados y una cultura en la que el equipo es la prioridad #1.
¿Qué desarrollamos?
Los ingenieros móviles de KAVAK son responsables de alguna de estas misiones:
Integrar funciones que agregan valor a nuestros usuarios, coordinando con ingenieros en devops, bases de datos, API, frontend y flujos de trabajo móviles
Integrar nuevas funciones para las aplicaciones móviles que utilizan lenguajes de programación modernos 
Implementar sistemas complejos y desarrollar la arquitectura de nuestras aplicaciones basada en paradigmas reactivos y con conceptos de programación funcional.
Categorizar bugs y excepciones reportados en producción.
Crear microservicios de backend en lenguajes de programación funcionales.


Stack y Experiencia:

3+ Años de desarrollo de aplicaciones nativas para iOS
Creación de estructuras desde cero.
Experiencia en análisis de requerimientos.
Conocimiento avanzado de Swift
Patrones de diseño MVVM y Clean Architecture
Consumo de servicios REST.
Manejo de control de versiones (Git)
Inglés conversacional intermedio.
Conocimiento en metodologías Scrum / Agile.
Reactive programming
Consumo de servicios GraphQL con Apollo (deseable)
Implementación de pruebas unitarias (deseable) 

Si estás motivado para ser parte de esta misión y ayudarnos a construir el resto de esta historia,  ¡  únete a KAVAK!",No especificado,Empleado de tiempo completo,Nivel Intermedio,,,,"Swift, Scrum, Devops, Git, graphql",Remote,Remoto,2021-11-04
ios developer,"Texas, USA",Active Tek,"Responsabilities
· Key Responsibilities include, but are not limited to:
· Drive innovation and design solutions for consumer facing IOS mobile applications
· Provide technical leadership in end to end design, development, and testing of solutions
· Work with technical leads, managers and Product stakeholders to define and manage the technical roadmap
· Prepare and present potential technical solutions and advise the business on approach and tradeoffs
· Work with developers, business analysts and subject matter experts to understand the complex technological system in order to produce integrated end-to-end solution options
· Provide high level effort estimates in the absence of detailed requirements
· Communicate solution approaches to architects, project teams and other stakeholders
· Keep up to date on cutting edge technologies and effectively incorporate that knowledge to our platform roadmap, design and implementation

Requirements
·  10+ years overall programming experience
· 7+ years of acting as a designer for major systems and their subsystems
· Strong hands-on experience building consumer facing mobile solutions for IOS
· Hands on experience with Swift and Objective C.
· Sound understanding of architectural pattern like MVVM and VIPER
· Hands on experience with REST API services
· Deep knowledge of scalability, security and maintainability of high-volume mobile applications
· Strong analytical, problem-solving, leadership and decision-making skills
· Ability to communicate and drive highly complex technology solutions to broad audiences within and outside of IT through diagrams, written and verbal presentations and communication
· Ability to define solutions from very high-level business ideas
· Ability to describe non-functional requirements
· Ability to work independently

Benefits
- Concierge services in all the process.
- TN visa fee paid by the company
- Social Security Number travel expenses
- Relocation expenses:
      - Flight ticket
      - 2 weeks of housing
      - Relocation bonus of $600 USD
      - Reimbursement of Flight tickets and TD visa (spouse and children) after 1 year of labor.
- Family Health Insurance
- 401k (Retirement plan)
- Holidays
- 10 days of vacation
- Training and Certifications",No especificado,Empleado de tiempo completo,Nivel Avanzado,,"10+ years, 7+ years, 1 year","Analitical, Comunication skills, Independent Worker, Innovation, Leadership, Problem solving, Written and oral communication","C/C++, Objective-C, Swift, REST API",, USA,2021-11-04
iOS Developer,"Miguel Hidalgo, Ciudad de México",Indus Software Solutions,"iOS Developer
Indus Software Solutions, Inc. is an Information Technology provider delivering superior quality consulting and staffing solutions to our client partners. With a balanced view of strategy, people, process and technology, we work with companies to understand their unique business needs, and to develop and implement practical business strategies and technology solutions.
Our USA division has the following immediate needs and expects the desired candidate to relocate to the USA and work full time .
Compensation:
·      Good salary, depending upon experience.
·      We pay good salary from the hire date.
·      No bench policy.
·      We will sponsor the required visa.
Benefits include
·      Paid Holidays
·      Vacations
·      Health Insurances
·      Bonuses
·      Sponsored Visa
  Technical Skills:
·      iOS development experience (preferable 3 or more years of experience)
·      Solid Swift
·      Objective C (is a plus)
·      Cocoa experience (is a plus)
  Fluent English is required.
If you are interested, please apply now
     ",No especificado,Empleado de tiempo completo,Nivel Avanzado,,,,"C/C++, Objective-C, Swift",, Ciudad de México,2021-11-04
iOS Engineer,Remoto,Zoolatech,"OVERVIEW
Earnin is a community-supported financial platform with a suite of tools that let people take control of their financial future. Earnin started out by solving one of the greatest – and least discussed – inequities in the American financial system: the practice of employers paying workers bi-weekly. Earnin's core  product , Cash Out, allows people to access the pay they've already earned. There are no loans or hidden costs. People pay what they choose. Other products include: Balance Shield, which helps alert overdrafts, a financial calendar that helps people budget and schedule payments, and WeWin - a revolutionary free social savings app. Funding: Series C, current funding partners include Andreessen Horowitz, DST, Matrix Partners, Ribbit Capital, Felicis Ventures and March Capital. Join us and help build a new financial system focused on fairness and people’s needs. You can help make a difference.
RESPONSIBILITIES
Work with the  product  and design team on creating new  user  experiences and features.
Design and implement new APIs with our server engineering team to communicate with the mobile applications.
Create and monitor analytics to prove how effective new and existing features are to helping customer.
WE REQUIRE
Bachelor’s (or higher, e.g., MS, or PhD) in Computer Science or a related technical field involving coding or equivalent technical experience
Fluency in the Swift programming language
2+ years of relevant industry related experience
Important: This role is fully remote within Mexico and Argentina.","$ 60,000 a 70,000",Empleado de tiempo completo,Nivel Avanzado,"Bachelor, PhD",2+ years,"Analitical, Comunication skills","C/C++, Swift",Remote,Remoto,2021-11-04
IOS dev junio - remoto,Remoto - Solo México,Confidencial,"Tiempo completo, Permanente
Descripción
Vacante: Remota

POSICIÓN:
iOs Developer Jr.

OBJETIVO:
Diseñar, desarrollar, probar e integrar nuevas características de software móvil basado en la plataforma iOS dentro de un ambiente creativo, proponiendo ideas para la creación de apps nuevas.

FUNCIONES:
Diseño y desarrollo de software móvil.
Realización de pruebas y depuración de problemas de campo con software móvil.
Solucionar problemas de integración y despliegue.
Desarrollar soluciones alternativas.

HERRAMIENTAS:
• Versionamiento de código GIT.
• Manejo de patrones de diseño y estructurales.
• Conexiones a webservices (ISON, SOAP).
• Swift.
• Objectivec.
• Parseo y HTML.
• Storyboards.
• Autolayout.
• Push Notifications.

CARRERAS:
• Ingeniero Administrador y de Sistemas.
• Ingeniero en Sistemas.
• Licenciado en Multimedia y animación digital.
• Licenciado en Ciencias Computacionales.
• Afin, años de experiencia 1 año.

Beneficios:
Prestaciones de ley y superiores, esquema 100% nominal.",No especificado,Empleado de tiempo completo,Nivel Básico,Licenciatura,1 año,Creatividad,"HTML, Swift, Git",Remote,Remoto,2021-11-04
iOS Developer,"Texas, USA",EMONICS MÉXICO,"iOS Mobile Developer Consultant 

Job Description

Emonics is a US-based mobile app development consultancy, specializing in Android, iOS, and cross-platform solutions. Each of our practice areas leverages specialized expertise, methodologies, and software to ensure that we deliver the most beneficial solutions to our clients. 

Who are we: 
Here at Emonics we are providing a unique opportunity for entry level C# and Swift developers to utilize our skills and expertise to become successful experienced developers, working with a number of excellent recognized US companies. 

What we are looking for:  
The focus will be on developing mobile applications for iPhone and iPad. You will provide professional consulting service working onsite for medium and large sized companies to build apps for iPhone and iPad. You will be working on large complex projects so you should be comfortable dealing with demanding stakeholders and providing time driven results. 

Who we are looking for: 
Applicants must be experienced working with the following: 

Essential: 
1 - 2 years of experience with C#, Swift 1+ years of .NET and PHP 

Desirable: 
Familiar with SQL Databases 

Qualifications/Experience:  

Knowledge of web services 
Bachelor’s degree in computer science, computer engineering, MIS, or Related field. 
You must be willing to travel within the US up to 100% of the time and also be entitled to work in the US. Travel expenses will be covered. 

What we offer: 
Whilst we offer an unrivalled salary and benefits package plus the opportunity to earn a 10 - 20% increase each year, you will also gain access to our excellent management support network. You will obtain the capabilities to think creatively, design solutions and gain vital work experience.","$ 50,000 a 60,000",Empleado de tiempo completo,Nivel Intermedio,Bachelor,"1 - 2 years, 1+ years",,"C/C++, SQL, PHP, Swift, Android",, USA,2021-11-04
iOS Engineer bilingue- Remoto,Remoto - Solo México,Confidencial,"Empresa internacional, con oficinas en Monterrey, Guadalajara, Saltillo en México y en otras ciudades del mundo como USA, India entre otras de desarrollo de software, está en búsqueda de un IOS Engineer
Contratación por nómina, prestaciones superiores a las de la ley
Remoto
bilingue

Software Engineer - iOS
Responsibilities:
· Work with an agile development, product & design team to understand feature requirements and work in an agile environment.
· Share your design and architecture with the team and once finalized, take ownership to develop & deliver high quality implementation.
· Work closely with QA to refine features and use-cases.
· Be an internal champion for continuously improving team working processes, code quality, and tools and technology adoption.

Requirements:
· Experience in building iOS mobile apps using modern frameworks.
· Knowledge and development experience with Objective-C and Swift is required.
· Good understanding of iOS UI guidelines for mobile apps.
· Deep understanding of design patterns and OO principles.
· Experience with Rest Webservices and JSON.
· Experience in developing apps for Android is a plus.
· Experience working in scrum teams in an Agile environment.
· Aptitude for both teaching and learning from others in a collaborative team environment.
· Excellent oral and written communications skills
· Bachelor's degree in Computer Science or related field. Master's degree is a plus",No especificado,Empleado de tiempo completo,Nivel Avanzado,"Bachelor, Master",,"Continuously learn, Team Work, Written and oral communication","C/C++, Swift, Scrum, Android, UI",Remote,Remoto,2021-11-04
iOS Developer/ Software Designer/ Architect,"Monterrey, Nuevo León",PageGroup,"We are looking for iOS Developers, Software designers and Architects for a  digitally native technology services company where innovation, design and engineering meet scale.
Skills:
  Advanced or intermediate English skills.
  Experience working with native iOS development (Cocoa Touch).
  Good understanding of SOLID principles.
  Solid Swift language knowledge, theoretical and practical.
Good understanding of iOS architecture, patterns and open-sourcers libraries.
  Good understanding of basic architectural patterns (MVC, MVP, MVVM).
  A basic knowledge of unit test process with iOS SDK.
Solid understanding of HIG’s (Human Interface Guidelines) for iOS.
Develops across the entire app life cycle –concept, design, build, deploy, test, release to App Store and support.
Proficient in Scrum/Agile methodologies. 
Desirable knowledge of high level architecture patterns (VIPER, VIP, Clean, etc.). 

If you are interested please send you updated CV to",No especificado,Empleado de tiempo completo,Nivel Intermedio,,,Innovation,"Swift, Scrum",, Nuevo León,2021-11-04
iOs Developer,"Benito Juárez, Ciudad de México",ENOS,"Principales Responsabilidades:
Desarrollo, actualización y mantenimiento de aplicaciones móviles
Documentación de aplicaciones móviles
Desarrollo y documentación de SDKs
Revisión de documentación de servicios RESTful para integración. (Ocasional)
Pruebas unitarias y de integración.
Requisitos:
Escolaridad: Ing. o Lic. en Sistemas, Computación o similares afines
2 años en posición similar o conocimientos sólidos en java.
Ingles Técnico
Aptitudes: Razonamiento lógico, Proactivo, Organizado, Analítico, Comunicación asertiva
Experiencia Necesaria
2 años en:
Desarrollo de aplicaciones móviles nativas con lenguaje Swift 5.0
Conocimiento de guías de diseño para iOS.
Patrones de diseño (MVC, MPV, VIPER)
Uso Git (Manejo de ramas, Pull, push, Commits, gitignore)
Documentación código con Markup
Readme con Markdown
Unit Testing
Uso de Postman o Insomnia
Desarrollo de Custom Views
Integración de librerías de terceros con PODS y Frameworks
Desarrollo de SDK
Desarrollo de UI
UINavigation.
UITableView dinámica y estática
Ciclo de vida de las apps
Errores en UI
Desarrollo de Modelo de Datos
Clases, Enums, Estructuras,Protocolos, Extensiones
Integración de Servicios RESTful
JSON y Serialización de datos",No especificado,Empleado de tiempo completo,Nivel Intermedio,Licenciatura,"2 años, 2 años","Organizado, Proactivo","Java, Swift, Git, UI",, Ciudad de México,2021-11-04
