,Title,Location,Company,Description,Salary,Tipo_Puesto,English,Academy_grade,Years_Experience,SoftSkill,HardSkill,Remoto,Estado,Accessed_Date
0,PRACTICANTE REDES O DESARROLLO,"Miguel Hidalgo, Ciudad de México",CITI VALUE,"Somos una sólida empresa certificada en Great Place to Work , desarrollamos e integramos tecnología a nivel global y tenemos más de 25 años en el mercado . Buscamos gente que vea el mundo diferente, que quiera cambiarlo a través de la tecnología. ¿Por qué lo hacemos? Porque lo más importante para nosotros es nuestra gente y creemos que el mejor talento tiene que estar en grandes empresas mexicanas como la nuestra.


¿Qué necesitamos de ti?
Orientación a resultados
Dinamismo
Conocimiento de redes, mantenimiento preventivo y correctivo
Disponibilidad mínima de 6hrs



¿Qué te ofrecemos?
Plan de crecimiento
Capacitación
Excelente ambiente de trabajo
Apoyo económico mensual


¿Te interesa?

Por profesionalismo te pedimos que te postules únicamente si cubres el perfil
Puedes enviarnos tu CV vía Whats app
Zona de trabajo: inicial homeoffice, posterior Polanco

 ","$ 5,000 a 10,000",Empleado de tiempo completo,Nivel Intermedio,,25 años,,,, Ciudad de México,2021-11-08
1,Especialista Avaya,"Benito Juárez, Ciudad de México",B-Drive,"ESPECIALISTA  AVAYA.

Tareas
Configuración de altas, bajas y cambios de servicios de voz, softhones, equipos de conferencia sip, voice mail y  entrega de nuevos servicios.
Atención, registro de seguimiento y solución de fallas en la infraestructura de telefonía de voz Avaya
Monitoreo de la infraestructura Avaya
Mantenimiento preventivo y correctivo a equipos Avaya.

Tecnologías y Conocimientos
Avaya Aura.   INDISPENSABLE
Avaya Equinox.  INDISPENSABLE
Voz y Videoconferencia. 

Requisitos
Experiencia mínima de dos años en posición similar.
Ing/Lic, en sistemas o afín con Titulo y Cédula. Indispensable .
Disponibilidad de horario y para viajar.
Certificación vigente en Avaya. Indispensable .
Disponibilidad de tiempo completo.

Oferta
Sueldo con base en experiencia.
Prestaciones de Ley.
Capacitación constante.
Beneficios adicionales.","$ 25,000 a 30,000",Empleado de tiempo completo,Nivel Básico,,,,,, Ciudad de México,2021-11-08
2,Especialista en Redes,"Querétaro, Querétaro",DXC Technology,"DXC Technology está en búsqueda de un especialista en Redes con las siguientes características:

EXPERIENCIA:
  Mínimo de 3 años en adelante en experiencia laboral en Telecomunicaciones
  ESCOLARIDAD : 
  Licenciatura  o Ingeniería en Comunicaciones y Electrónica, Sistemas Electrónicos, o carrera afín.
  CERTIFICACION PROFESIONAL:
  Cisco Certified Network Associate (CCNA) Mandatoria
Cisco Certified Network Professional (CCNP) deseable
     FUNCIONES GENERALES:
·         Administración de Recursos Humanos, costos y proyectos
·        Especialista en Router, Switches, Firewalls,Access Points
·         Segundo nivel de soporte técnico a redes LAN/WAN vía telefónica y en sitio (fuera de horarios de oficina)
·         Soporte de segundo nivel a problemas con: enlaces de comunicación punto a punto y redes conmutadas (ej. MPLS); comunicación LAN;  equipos ruteadores;  equipos de videoconferencia, conmutadores,  de voz  sobre IP y redes conmutadas (ej. MPLS)
·         Diagnóstico local y remoto para detección de problemas de redes y seguimiento con proveedores de enlaces ( carriers)
·          Administración de capacidad de medios y equipo.
·         Administración de la red LAN/WAN
·         Generación de estadísticas y elaboración de reportes mensuales (operación y disponibilidad)
·          Verificación de nuevos sitios y validación de configuraciones
·          Administración de cambios de la red y password locales en routers
·          Realizar memorias técnicas de la red
·          Manejo de inventarios (Hardware y software) del equipo/servicio de la red y equipo de comunicaciones
·          Administración de la configuración de red/direccionamiento IP
·          Administración de software de equipos de comunicación
·          Administración  de los contratos de mantenimiento
·          Implementación de nuevas herramientas de monitoreo
·          Conocimientos avanzados con problemas comunes de comunicación
·          Trato vía telefonía con niveles jerárquicos de proveedores y soporte técnico

CONOCIMIENTOS:
  ·         Administración de proyectos de mejora
·         Conceptos avanzados de elementos de sistema de comunicaciones
·         Conocimiento Avanzado en medios físicos  de transmisión de voz y datos; redes de datos  LAN/WAN; en  protocolos de comunicación, Frame Relay, MPLS,  TCP /IP, UDP
·         Conocimiento básico en funcionamiento de equipos de comunicaciones, Multiplexores, Routers y  Switches (cualquier marca)
·         Conocimiento Avanzado en equipos Cisco  Router y Switch - su instalación, configuración   y funcionamiento
·         Conocimientos generales  de herramientas de monitoreo (HP Open View)
·         Conocimiento Intermedio en direccionamiento IP y sus clases
·         Conocimiento  en Administración  de redes de telecomunicaciones
·         Ingles Intermedio : 70%",No especificado,Empleado de tiempo completo,Nivel Intermedio,Licenciatura,3 años,,"Cisco, HP Open View",, Querétaro,2021-11-08
3,Tecnico en Redes II,Remoto - Solo México,DXC Technology,"Descripción del trabajo
Brindar consultoría tecnológica a clientes externos y equipos de proyectos internos. Responsable de brindar soporte técnico y / o liderazgo en la creación y entrega de soluciones tecnológicas diseñadas para satisfacer las necesidades comerciales de los clientes y, en consecuencia, para comprender los negocios de los clientes. Como asesor de confianza, cree y mantenga relaciones efectivas con los clientes para asegurar su satisfacción. Mantener el conocimiento de las tecnologías de vanguardia y el conocimiento del dominio de la industria / mercado. Contribuya activamente a la cartera de soluciones de la empresa proporcionando información que va desde conocimientos técnicos hasta metodologías basadas en la experiencia obtenida de los proyectos de los clientes. Dar forma a la dirección técnica y las estrategias técnicas dentro de la organización y para los clientes externos. Responsable de los niveles de cargabilidad consistentes y significativos (o el alivio de gastos para los equipos de proyectos internos) y de ayudar a cumplir o superar los objetivos de ingresos y satisfacción del cliente. Contribuya a la rentabilidad de la organización generando y cultivando nuevas oportunidades comerciales y brindando soporte técnico para el desarrollo de propuestas de acuerdos.
  Responsabilidades:
Brindar soporte diario del entorno de red para Proyectos (Diseño e Implementación) y Equipo de Operaciones de Soporte;
Trabajar en funciones cruzadas con la Oficina de Gestión de Proyectos y los Equipos de ITO para planificar e implementar nuevos proyectos en los Centros de Datos y / o Edificios de los clientes;
Mantener la base de datos de activos y las herramientas de gestión precisas y la documentación actualizada.


Competencias y habilidades clave:
Habilidades necesarias:
Experiencia en Propuestas con solución técnica y estimaciones de costos;  
  Experiencia en proyectos utilizando redes definidas por software;  
  Configuración y resolución de problemas de tecnologías y protocolos de enrutamiento / conmutación de IP, incluidos TCP / IP, BGP, OSPF  
  Configurar y solucionar problemas del entorno SD-WAN.  
  Configurar y solucionar problemas del entorno WLAN (controladores inalámbricos, NAC, Cisco ISE, Microsoft NPS)  
  Competente con herramientas para recopilar estadísticas de red mediante protocolos (SNMP, NetFlow, CACTI, OpenView)  
  Capacidad para solucionar problemas y analizar elementos de seguridad (firewalls, filtros web, servidores de identidad, IPS)  
  1-3 años de experiencia trabajando con clientes empresariales entregando proyectos de infraestructura / soporte de operaciones  
  1-3 años de experiencia en redes e infraestructura / resolución de problemas  
  Experiencia sólida en infraestructura / modelo de entrega de red  
  Habilidades interpersonales y de comunicación en los idiomas español e inglés;  
  Alto compromiso con la integridad y profesionalismo empresarial y personal.      


Habilidades deseadas:
Ingles fluido;  
Desarrollo de software (Python, PowerShell, Java, etc.);  
Automatización de tareas;  
        Certificaciones de telecomunicaciones, Cisco, CheckPoint, Fortinet;


Educación y calificaciones:
Licenciatura en Ciencias de la Computación, Sistemas de Información o áreas afines","$ 25,000 a 30,000",Empleado de tiempo completo,Nivel Intermedio,Licenciatura,"1-3 años, 1-3 años",Resolucion de problemas,"Python, Java, Cisco",Remote,Remoto,2021-11-08
4,Ingeniero en Redes III,Remoto - Solo México,DXC Technology,"Descripción de la posición
Brindar consultoría tecnológica a clientes externos y equipos de proyectos internos. Responsable de brindar soporte técnico y / o liderazgo en la creación y entrega de soluciones tecnológicas diseñadas para satisfacer las necesidades comerciales de los clientes y, en consecuencia, para comprender los negocios de los clientes. Como asesor de confianza, cree y mantenga relaciones efectivas con los clientes para asegurar su satisfacción. Mantener el conocimiento de las tecnologías de vanguardia y el conocimiento del dominio de la industria / mercado. Contribuya activamente a la cartera de soluciones de la empresa proporcionando información que va desde conocimientos técnicos hasta metodologías basadas en la experiencia obtenida de los proyectos de los clientes. Dar forma a la dirección técnica y las estrategias técnicas dentro de la organización y para los clientes externos. Responsable de los niveles de cargabilidad consistentes y significativos (o el alivio de gastos para los equipos de proyectos internos) y de ayudar a cumplir o superar los objetivos de ingresos y satisfacción del cliente. Contribuya a la rentabilidad de la organización generando y cultivando nuevas oportunidades comerciales y brindando soporte técnico para el desarrollo de propuestas de acuerdos.

Responsabilidades
Brindar soporte diario del entorno de red para Proyectos (Diseño e Implementación) y Equipo de Operaciones de Soporte;
Trabajar en funciones cruzadas con la Oficina de Gestión de Proyectos y los Equipos de ITO para planificar e implementar nuevos proyectos en los Centros de Datos y / o Edificios de los clientes;
Mantener la base de datos de activos y las herramientas de gestión precisas y la documentación actualizada.  


Competencias y habilidades clave:
Habilidades necesarias:
Experiencia en Propuestas con solución técnica y estimaciones de costos.
Experiencia en proyectos utilizando redes definidas por software.
Configuración y resolución de problemas de tecnologías y protocolos de enrutamiento / conmutación de IP, incluidos TCP / IP, BGP, OSPF
Configurar y solucionar problemas del entorno SD-WAN.
Configurar y solucionar problemas del entorno WLAN (controladores inalámbricos, NAC, Cisco ISE, Microsoft NPS)
Competente con herramientas para recopilar estadísticas de red mediante protocolos (SNMP, NetFlow, CACTI, OpenView)
Capacidad para solucionar problemas y analizar elementos de seguridad (firewalls, filtros web, servidores de identidad, IPS)
5+ años de experiencia trabajando con clientes empresariales entregando proyectos de infraestructura / soporte de operaciones
5+ años de experiencia en redes e infraestructura / resolución de problemas
Experiencia sólida en infraestructura / modelo de entrega de red
Excelentes habilidades interpersonales y de comunicación en los idiomas español e inglés.
Alto compromiso con la integridad y profesionalismo empresarial y personal.

Habilidades deseadas:
Desarrollo de software (Python, PowerShell, Java, etc.)
Automatización de tareas
Certificaciones de telecomunicaciones, Cisco, CheckPoint, Fortinet
Conocimientos en diseño y operación en SDN, muestra: (Azure, AWS, etc)
    Educación y calificaciones:
Licenciatura en Ciencias de la Computación, Sistemas de Información o áreas afines

 ","$ 35,000 a 40,000",Empleado de tiempo completo,Nivel Intermedio,Licenciatura,"5+ años, 5+ años",Resolucion de problemas,"Python, Java, AWS, Azure, Cisco",Remote,Remoto,2021-11-08
5,Especialista en Redes LAN/WAN,"Cuauhtémoc, Ciudad de México",B-Drive,"CONSULTORIA EN SISTEMAS BUSCA = ING. EN REDES =
Sexo: Indistinto.
Edad: Indistinta.
Escolariadad: Ing. o Lic en Informática, Computación, Telecomunicaciones o afin. TITULADO con Cédula.
Experiencia en:
Redes de datos (básico)
Protocolos de ruteo estático
Redes inalambricas (básico)
Conocimiento EXTREME y ALCATEL (deseable)
Actividades:
Seguimiento y documentación de tickets
Soporte de soluciones de redes de datos básico
Contacto e interacción con personal interno
Elaboración de reportes
Ofrecemos:
Sueldo neto + prestaciones de ley + contratación en nómina tradicional
Certificaciones, capacitación constante.
Interesados que cubran el perfil enviar su CV por este medio.
Tipo de puesto: Tiempo completo, Indefinido
Salario: $20,000.00 - $24,000.00 al mes
Tipo de puesto: Tiempo completo, Indefinido
Salario: $20,000.00 - $24,000.00 al mes","$ 20,000 a 25,000",Empleado de tiempo completo,Nivel Básico,Licenciatura,,,,, Ciudad de México,2021-11-08
6,Administrador de Redes,"Cuauhtémoc, Ciudad de México",Estrategia Tecnologica,"Manejo de sesiones
Conocimiento de los diferentes casos de uso y como implementarlos
Adminitración de NPE y PROD
Monitoreo, análisis y ajuste del rendimiento de la base de datos.
Revisiones de código
Disponibilidad, respaldo y recuperación de la base de datos.
Conocimiento en Red Hat Linux
Métodos de acceso a Base de Datos y aplicaciones","$ 25,000 a 30,000",Empleado de tiempo completo,Nivel Intermedio,,,,Linux,, Ciudad de México,2021-11-08
7,Especialista en Redes y Telecomunicaciones,"Guadalajara, Jalisco",BRADESCARD,"Ingeniería, Sistemas, Redes y Telecom, Telemática o afin .
M í nimo 1 año en el área de sistemas, conocimiento intermedio de redes, seguimiento a tickets incidencias.

Conocimientos:
Ø CCNA
Ø Telefonia IP avaya
Ø Configuracion switch cisco


Ø Funciones:
Ø Documentación de todos los procesos del área .
Ø Monitorear los enlaces de tiendas y corporativo.
Ø Seguimiento de ticket e incidentes .
Ø Administración de Conmutador Avaya .
Ø Administración de los equipos de comunicación Switch
Ø Administracion de Firewall
Ø Seguimiento con proveedores.

Horario:
Miércoles a Domingo 12:00 – 21 :00 hrs .
Ubicación:
Oficina Corporativa Guadalajara","$ 25,000 a 30,000",Empleado de tiempo completo,Nivel Básico,Licenciatura,1 año,,Cisco,, Jalisco,2021-11-08
8,Ingeniero de Redes Senior,"Guadalajara, Jalisco",O'Reilly - MAYASA/ORMA Autopartes,"Funciones del puesto:
Planificar, coordinar y ejecutar proyectos complejos para apoyar las necesidades de la empresa.
Apoyar a las unidades de negocio de TI en la respuesta y resolución oportunas de todos los incidentes, interrupciones y alertas de rendimiento, diagnosticando/resolviendo incidentes complejos cuando sea necesario.
Facilitar las comunicaciones internas y en toda la empresa del NOC.
Esforzarse continuamente por automatizar las tareas repetitivas y mejorar la eficiencia de los analistas del NOC.
Revisar las métricas de rendimiento y los informes de varios sistemas para predecir futuros problemas o interrupciones.
Documentar todas las acciones de acuerdo con las políticas y procedimientos estándar de la empresa.
Trabajar con equipos técnicos y de servicio internos y externos para crear y/o actualizar artículos de la base de conocimientos.
Responsable del diseño, la implementación, el mantenimiento y la resolución de problemas de la WAN de la tienda/DC  
Utiliza las mejores prácticas para garantizar la seguridad de la red y mantener el cumplimiento de PCI de más de 4600 firewalls.

Requisitos del puesto:
Al menos 7 años de experiencia en un puesto de soporte de redes o tecnologías de la información.  
Experiencia en el soporte de sistemas de monitorización de redes (NMS) en una organización empresarial.  
Conocimiento avanzado de protocolos y tecnologías de red (TCP/IP, BGP, enrutamiento/conmutación, SD-WAN).y experiencia en administración de WAN. 
Conocimiento operativo de lenguajes de programación y scripting (Python, PowerShell, Java, C#, C++, Linux Shell Scripting). 
Conocimiento a nivel de experto de redes de datos y enrutamiento IP. Debe estar familiarizado con Cisco CLI, BGP, EIGRP, DMVPN, IPSEC, TCP/UDP y conmutación LAN 
Se requiere un nivel de CCNA, se desea un nivel de CCNP. 
Experiencia con herramientas de scripting y automatización utilizadas en entornos de servidor 
Revisa la seguridad general de los sistemas para determinar el estado de cumplimiento de la normativa (PCI, Sox, etc.) 
Habilidades de comunicación eficaces, con la capacidad de comunicarse claramente con las partes interesadas y el personal técnico en situaciones de alto estrés.  
Habilidades excepcionales para la resolución de problemas.  
Gran sentido de la urgencia y deseo de automatizar tareas.  
Alta motivación y dirección. 
Deseable: 
Experiencia en NOC.
Certificación ITIL. ",No especificado,Empleado de tiempo completo,Nivel Avanzado,,7 años,Resolucion de problemas,"C/C++, Python, Java, Linux, Cisco",, Jalisco,2021-11-08
9,Consultor e Ingeniero en Redes,Remoto - Solo México,DXC Technology,"Descripción del trabajo
Brindar consultoría tecnológica a clientes externos y equipos de proyectos internos. Responsable de brindar soporte técnico y / o liderazgo en la creación y entrega de soluciones tecnológicas diseñadas para satisfacer las necesidades comerciales de los clientes y, en consecuencia, para comprender los negocios de los clientes. Como asesor de confianza, cree y mantenga relaciones efectivas con los clientes para asegurar su satisfacción. Mantener el conocimiento de las tecnologías de vanguardia y el conocimiento del dominio de la industria / mercado. Contribuya activamente a la cartera de soluciones de la empresa proporcionando información que va desde conocimientos técnicos hasta metodologías basadas en la experiencia obtenida de los proyectos de los clientes. Dar forma a la dirección técnica y las estrategias técnicas dentro de la organización y para los clientes externos. Responsable de los niveles de cargabilidad consistentes y significativos (o el alivio de gastos para los equipos de proyectos internos) y de ayudar a cumplir o superar los objetivos de ingresos y satisfacción del cliente. Contribuya a la rentabilidad de la organización generando y cultivando nuevas oportunidades comerciales y brindando soporte técnico para el desarrollo de propuestas de acuerdos.


Responsabilidades
Proporcionar soporte de arquitectura para propuestas de infraestructura.
Investiga las soluciones generales del mercado para los requisitos técnicos y las necesidades comerciales.
Conduce y / o participa activamente en reuniones relacionadas con programas designados.  
Asesora y recomienda estrategias, procesos y metodologías de arquitectura.  
Colabora con las partes relevantes, revisando los objetivos y las limitaciones de cada solución y determinar la conformidad con los estándares de arquitectura de red existentes. 
Recomienda la arquitectura técnica más adecuada y define la solución.  
Recomienda y participa en el diseño e implementación de estándares, herramientas y metodologías de gestión de servicios de TI.  
Servir como punto de escalamiento y experto en la materia relacionada con ingeniería e incidentes mayores / problemas operativos.  
Brindar experiencia técnica y asesoría al cliente interno actuando como referencia en tecnología, tendencias y procesos relacionados con el área propia.  
Entrenar / educar a otros dentro del equipo y otros departamentos.
Contribuir y / o liderar sesiones de Transferencia de Conocimientos (KT) con el equipo.


Competencias y habilidades clave:
Habilidades necesarias:
  Datos, voz, wifi, redes de seguridad y redes virtualizadas  
  Tecnologías LAN / WAN que incluyen aceleración WAN y SDWAN  
  Conceptos de ciberseguridad que incluyen firewalls, IPS, servidores proxy y arquitecturas generales orientadas a la seguridad.  
  ADC - Entrega y control de aplicaciones (F5 LTM, GTM, ASM, APM, Silverline Preferred)  
  Gestión de direcciones IP, DHCP y DNS (Infoblox Preferred)  
  Tecnologías de centro de datos, SDN y enrutamiento / conmutación empresarial  
  Experiencia con tecnologías de nube, migración y adopción: Azure y GCP  
  Implementación, gestión y administración de arquitectura, solución y diseño empresarial a gran escala  
  Experiencia práctica con equipos de red de varios proveedores y una variedad de plataformas de virtualización  
  Experiencia práctica con automatización de red, scripts y herramientas.  
  Experiencia con Cisco CLI y la implementación y administración de Cisco  
  Experiencia empresarial con diseño, implementación y resolución de problemas  
  Amplia experiencia con analizadores de paquetes y resolución de problemas de rendimiento de la red  
  Soporte al cliente, implementación y resolución de problemas de entrega de aplicaciones, DNS, TCP / IP y desafíos DDI  
  Experiencia con scripting y codificación usando Linux, BASH, TMSH, Python, Ansible  
  Experiencia con la implementación, administración, políticas y Playbooks de Cisco ACI  
  Experiencia con automatización y orquestación usando API, Ansible, Terraform  
  Experiencia práctica en la dirección de todas las etapas de los esfuerzos de desarrollo del sistema, incluida la recopilación de requisitos, la definición, el diseño, la arquitectura, las pruebas y el soporte.  
  Administración de entornos grandes, de múltiples sitios y de múltiples inquilinos  
  Implementación, integración, consultoría de soluciones, diseño de redes, ciberseguridad, IoT, arquitectura en la nube, SDN y virtualización  
  Experiencia trabajando con auditores y resolviendo hallazgos de auditoría.  
  Experiencia con PCI, DISA  
  Comprensión completa de las capas OSI.  
  Sólido conocimiento de los protocolos SSL y SSL.    

Habilidades deseadas:
Licenciatura en ciencias de la computación o campo relacionado, o experiencia equivalente.  
Educación postsecundaria (título o diploma) en un campo relacionado o experiencia relacionada  
CCIE: experiencia escrita y de laboratorio o equivalente   Administrador certificado por F5, especialista en tecnología certificado por F5  
Certificación DNS BIND  
Conocimientos sobre secuencias de comandos: Ansible, Python, IaC, CI / CD  
Conocimiento de API  
Seguridad  
PCI DSS: emisor y comerciante  
VoIP  
ITIL V3  
Metodologías ágiles
    Educación y calificaciones:
Licenciatura en: Ciencias de la Computación, Sistemas de Información o áreas afines;
Experiencia en la industria: mínimo de 10 a 15 años, con 3-5 años de experiencia a nivel de maestría
Habilidades interpersonales sólidas y efectivas
Excelentes habilidades de servicio al cliente
Trabajador de equipo fuerte, emprendedor motivado y la capacidad de trabajar de forma autónoma para cumplir con los compromisos
Capacidad demostrada para trabajar en colaboración en un entorno de equipo.
Capaz de colaborar con otros, compartir experiencia e impulsar la organización del conocimiento
Excelentes habilidades de comunicación verbal y escrita con la capacidad de explicar conceptos técnicos en términos comerciales.","$ 50,000 a 60,000",Empleado de tiempo completo,Nivel Avanzado,"Licenciatura, Maestria","15 años, 3-5 años",Resolucion de problemas,"Python, Bash, Linux, Ansible, Azure, GCP, Terraform, Cisco",Remote,Remoto,2021-11-08
